ticket_id,customer_id,created_date,category,priority,status
TK-00113,C-0014,2024-11-06,Technical,Critical,Resolved
TK-00114,C-0014,2024-11-16,Technical,Low,Resolved
TK-00115,C-0014,2024-11-27,Account,Medium,In Progress
TK-00116,C-0014,2024-12-14,Technical,Medium,Resolved
TK-00117,C-0014,2024-12-20,Billing,Medium,Closed
TK-00118,C-0014,2024-12-20,Billing,Medium,Closed
TK-00119,C-0015,2024-10-03,Account,High,Closed
TK-00120,C-0015,2024-10-10,Technical,High,Closed
TK-00121,C-0015,2024-10-11,Technical,Low,Resolved
TK-00122,C-0015,2024-10-15,Technical,High,Open
TK-00123,C-0015,2024-10-27,Technical,Medium,Closed
TK-00124,C-0015,2024-10-31,Technical,Medium,In Progress
TK-00125,C-0015,2024-11-05,Technical,Low,Resolved
TK-00126,C-0015,2024-11-22,Technical,Low,Closed
TK-00127,C-0015,2024-12-21,Billing,Low,In Progress
TK-00128,C-0015,2024-12-30,Billing,Critical,Closed
TK-00129,C-0015,2024-11-16,Billing,Critical,Resolved
TK-00130,C-0016,2024-01-31,Technical,Low,Closed
TK-00131,C-0016,2024-04-03,Technical,Low,Resolved
TK-00132,C-0016,2024-10-03,Account,Medium,Resolved
TK-00133,C-0016,2024-10-14,Billing,Medium,Resolved
TK-00134,C-0016,2024-11-09,Technical,Low,Resolved
TK-00135,C-0016,2024-11-10,Billing,Low,Closed
TK-00136,C-0016,2024-11-17,Billing,Low,Closed
TK-00137,C-0016,2024-12-01,Billing,Medium,Resolved
TK-00138,C-0016,2024-12-03,Account,Low,Resolved
TK-00139,C-0016,2024-12-12,Onboarding,High,In Progress
TK-00140,C-0016,2024-12-25,Billing,High,In Progress
TK-00141,C-0017,2024-02-08,Feature Request,Medium,Resolved
TK-00142,C-0017,2024-02-12,Onboarding,Low,Resolved
TK-00143,C-0017,2024-11-24,Account,Low,Open
TK-00144,C-0017,2024-12-13,Billing,Critical,Closed
TK-00145,C-0017,2024-12-15,Technical,Critical,Closed
TK-00146,C-0018,2024-04-18,Technical,Medium,Resolved
TK-00147,C-0018,2024-05-11,Account,Medium,In Progress
TK-00148,C-0018,2024-10-06,Technical,High,Open
TK-00149,C-0018,2024-10-06,Feature Request,Medium,Resolved
TK-00150,C-0018,2024-10-13,Feature Request,High,Closed
TK-00151,C-0018,2024-10-15,Technical,Low,Resolved
TK-00152,C-0018,2024-10-16,Technical,Medium,Resolved
TK-00153,C-0018,2024-10-20,Onboarding,Medium,Closed
TK-00154,C-0018,2024-11-15,Account,Critical,Closed
TK-00155,C-0018,2024-11-29,Billing,Medium,In Progress
TK-00156,C-0018,2024-12-04,Billing,Low,In Progress
TK-00157,C-0018,2024-12-24,Feature Request,Medium,Resolved
TK-00158,C-0018,2024-12-25,Technical,High,In Progress
TK-00159,C-0019,2024-02-10,Technical,High,Closed
TK-00160,C-0019,2024-09-24,Billing,Low,Open
TK-00161,C-0019,2024-10-14,Account,Low,In Progress
TK-00162,C-0019,2024-10-17,Technical,High,In Progress
TK-00163,C-0019,2024-10-18,Account,High,Closed
TK-00164,C-0019,2024-10-19,Billing,High,Closed
TK-00165,C-0019,2024-11-08,Billing,Low,Closed
TK-00166,C-0019,2024-11-15,Onboarding,Low,Resolved
TK-00167,C-0019,2024-11-25,Technical,Medium,Open
TK-00168,C-0019,2024-12-06,Billing,High,Resolved
TK-00169,C-0019,2024-12-12,Feature Request,Low,Closed
TK-00170,C-0019,2024-12-18,Technical,Medium,Closed
TK-00171,C-0020,2024-10-03,Account,High,In Progress
TK-00172,C-0020,2024-10-06,Technical,Medium,In Progress
TK-00173,C-0020,2024-10-12,Technical,Medium,Closed
TK-00174,C-0020,2024-10-16,Technical,High,Resolved
TK-00175,C-0020,2024-10-21,Technical,Medium,In Progress
TK-00176,C-0020,2024-10-23,Billing,Medium,Resolved
TK-00177,C-0020,2024-11-07,Account,High,Closed
TK-00178,C-0020,2024-11-11,Billing,Low,Resolved
TK-00179,C-0020,2024-11-15,Technical,Medium,Closed
TK-00180,C-0020,2024-11-17,Technical,Low,In Progress
TK-00181,C-0020,2024-11-24,Billing,Low,Resolved
TK-00182,C-0020,2024-12-06,Account,High,Closed
TK-00183,C-0020,2024-12-15,Billing,Low,Closed
TK-00184,C-0020,2024-12-15,Feature Request,Low,Resolved
TK-00185,C-0020,2024-12-27,Technical,High,Closed
TK-00186,C-0021,2024-02-18,Account,Medium,Resolved
TK-00187,C-0021,2024-04-15,Technical,High,In Progress
TK-00188,C-0021,2024-10-12,Onboarding,Low,Resolved
TK-00189,C-0021,2024-11-23,Technical,High,In Progress
TK-00190,C-0021,2024-12-11,Technical,Low,Resolved
TK-00191,C-0021,2024-12-24,Technical,Medium,Resolved
TK-00192,C-0022,2024-09-17,Account,Medium,Open
TK-00193,C-0022,2024-10-09,Billing,Medium,Closed
TK-00194,C-0022,2024-10-24,Billing,High,Resolved
TK-00195,C-0022,2024-11-10,Onboarding,High,Closed
TK-00196,C-0022,2024-11-11,Technical,Low,Closed
TK-00197,C-0022,2024-11-12,Technical,Medium,Resolved
TK-00198,C-0022,2024-12-21,Technical,High,Resolved
TK-00199,C-0023,2024-04-05,Billing,High,In Progress
TK-00200,C-0023,2024-05-11,Technical,Medium,In Progress
TK-00201,C-0023,2024-10-06,Account,Medium,Resolved
TK-00202,C-0023,2024-10-13,Account,High,Closed
TK-00203,C-0023,2024-10-13,Onboarding,High,In Progress
TK-00204,C-0023,2024-10-19,Feature Request,Low,Resolved
TK-00205,C-0023,2024-11-05,Billing,High,Resolved
TK-00206,C-0023,2024-11-19,Onboarding,Medium,Resolved
TK-00207,C-0023,2024-11-29,Billing,Critical,Closed
TK-00208,C-0023,2024-12-01,Feature Request,High,Resolved
TK-00209,C-0023,2024-12-20,Billing,Medium,Closed
TK-00210,C-0023,2024-12-23,Technical,Low,In Progress
TK-00211,C-0023,2024-12-26,Technical,High,Resolved
TK-00212,C-0024,2024-02-04,Feature Request,Medium,Closed
TK-00213,C-0024,2024-06-15,Billing,High,Closed
TK-00214,C-0024,2024-10-03,Technical,Critical,Resolved
TK-00215,C-0024,2024-10-11,Technical,Low,Closed
TK-00216,C-0024,2024-10-20,Technical,Low,Closed
TK-00217,C-0024,2024-10-25,Billing,Medium,In Progress
TK-00218,C-0024,2024-10-29,Technical,Medium,Closed
TK-00219,C-0024,2024-11-23,Account,Medium,In Progress
TK-00220,C-0024,2024-11-26,Billing,Medium,Closed
TK-00221,C-0024,2024-11-28,Technical,Medium,Resolved
TK-00222,C-0024,2024-12-23,Account,Low,In Progress
TK-00223,C-0024,2024-12-25,Technical,Critical,In Progress
TK-00224,C-0024,2024-12-26,Billing,Critical,Resolved
TK-00225,C-0024,2024-10-13,Technical,Low,In Progress
TK-00226,C-0024,2024-10-14,Technical,Low,Closed
TK-00227,C-0026,2024-01-18,Feature Request,Low,Resolved
TK-00228,C-0026,2024-09-18,Account,Medium,Resolved
TK-00229,C-0026,2024-10-12,Billing,Medium,Resolved
TK-00230,C-0026,2024-11-12,Technical,Critical,Resolved
TK-00231,C-0026,2024-12-04,Billing,Medium,Closed
TK-00232,C-0026,2024-12-12,Account,Medium,Closed
TK-00233,C-0026,2024-12-25,Technical,Low,Closed
TK-00234,C-0027,2024-01-09,Technical,High,Open
TK-00235,C-0027,2024-10-10,Billing,Medium,Resolved
TK-00236,C-0027,2024-10-11,Onboarding,Low,Open
TK-00237,C-0027,2024-10-17,Feature Request,Medium,In Progress
TK-00238,C-0027,2024-10-19,Account,Critical,Resolved
TK-00239,C-0027,2024-10-26,Technical,Low,Closed
TK-00240,C-0027,2024-11-26,Feature Request,High,Resolved
TK-00241,C-0027,2024-12-07,Account,Critical,Open
TK-00242,C-0027,2024-12-13,Onboarding,High,Closed
TK-00243,C-0027,2024-12-18,Billing,High,Resolved
TK-00244,C-0027,2024-12-20,Technical,Low,Closed
TK-00245,C-0027,2024-12-21,Technical,Low,In Progress
TK-00246,C-0027,2024-10-20,Account,High,Resolved
TK-00247,C-0027,2024-11-30,Billing,Medium,Closed
TK-00248,C-0028,2024-09-12,Technical,Low,Closed
TK-00249,C-0028,2024-10-05,Billing,Medium,Closed
TK-00250,C-0028,2024-10-06,Technical,Medium,Resolved
TK-00251,C-0028,2024-10-12,Technical,Medium,Resolved
TK-00252,C-0028,2024-10-17,Billing,High,In Progress
TK-00253,C-0028,2024-10-27,Billing,Critical,In Progress
TK-00254,C-0028,2024-11-05,Technical,High,Closed
TK-00255,C-0028,2024-12-08,Technical,Medium,Resolved
TK-00256,C-0028,2024-12-09,Billing,Medium,Resolved
TK-00257,C-0028,2024-12-12,Technical,Medium,Open
TK-00258,C-0028,2024-12-14,Technical,Critical,Open
TK-00259,C-0028,2024-12-14,Technical,Medium,Resolved
TK-00260,C-0028,2024-12-14,Onboarding,High,Closed
TK-00261,C-0028,2024-12-18,Billing,Low,Resolved
TK-00262,C-0029,2024-03-19,Technical,Low,Closed
TK-00263,C-0029,2024-08-21,Billing,High,In Progress
TK-00264,C-0029,2024-10-14,Feature Request,Low,Closed
TK-00265,C-0029,2024-10-21,Technical,High,Resolved
TK-00266,C-0029,2024-11-06,Technical,Low,Resolved
TK-00267,C-0029,2024-12-14,Technical,Low,Open
TK-00268,C-0029,2024-12-22,Feature Request,Low,In Progress
TK-00269,C-0030,2024-02-25,Onboarding,Low,Closed
TK-00270,C-0032,2024-03-15,Billing,High,Resolved
TK-00271,C-0032,2024-06-28,Billing,High,In Progress
TK-00272,C-0032,2024-10-06,Technical,Medium,Resolved
TK-00273,C-0032,2024-10-07,Feature Request,Critical,Resolved
TK-00274,C-0032,2024-10-12,Technical,Medium,Closed
TK-00275,C-0032,2024-10-26,Billing,Low,Resolved
TK-00276,C-0032,2024-11-08,Onboarding,High,Resolved
TK-00277,C-0032,2024-11-22,Onboarding,Critical,Resolved
TK-00278,C-0032,2024-11-23,Feature Request,High,Open
TK-00279,C-0032,2024-12-02,Technical,High,In Progress
TK-00280,C-0032,2024-12-09,Feature Request,Low,Closed
TK-00281,C-0032,2024-12-13,Feature Request,High,Closed
TK-00282,C-0032,2024-12-21,Feature Request,Low,Closed
TK-00283,C-0032,2024-12-27,Technical,Low,Closed
TK-00284,C-0032,2024-12-29,Technical,High,Resolved
TK-00285,C-0032,2024-12-30,Technical,Low,Closed
TK-00286,C-0032,2024-11-28,Billing,Critical,Resolved
TK-00287,C-0033,2024-03-06,Billing,Low,Resolved
TK-00288,C-0033,2024-08-06,Billing,High,Resolved
TK-00289,C-0033,2024-10-22,Technical,Low,Closed
TK-00290,C-0033,2024-11-08,Technical,Medium,Open
TK-00291,C-0034,2024-01-11,Billing,Low,Resolved
TK-00292,C-0034,2024-10-07,Technical,Critical,Closed
TK-00293,C-0034,2024-10-12,Billing,High,Closed
TK-00294,C-0034,2024-10-20,Technical,Critical,Open
TK-00295,C-0034,2024-11-01,Account,Medium,Closed
TK-00296,C-0034,2024-11-23,Technical,Medium,Closed
TK-00297,C-0034,2024-12-15,Billing,High,Resolved
TK-00298,C-0034,2024-12-20,Technical,High,Resolved
TK-00299,C-0034,2024-12-26,Onboarding,Medium,Resolved
TK-00300,C-0035,2024-08-08,Billing,Medium,Resolved
TK-00301,C-0035,2024-10-02,Billing,Low,Resolved
TK-00302,C-0035,2024-10-18,Feature Request,High,In Progress
TK-00303,C-0035,2024-10-18,Technical,Medium,In Progress
TK-00304,C-0035,2024-10-23,Technical,Medium,Closed
TK-00305,C-0035,2024-11-01,Onboarding,Medium,Closed
TK-00306,C-0035,2024-11-09,Account,Medium,Open
TK-00307,C-0035,2024-11-14,Billing,High,Resolved
TK-00308,C-0035,2024-11-17,Onboarding,Medium,Closed
TK-00309,C-0035,2024-11-18,Technical,High,Resolved
TK-00310,C-0035,2024-11-25,Technical,High,Resolved
TK-00311,C-0035,2024-12-23,Technical,Low,Resolved
TK-00312,C-0036,2024-10-03,Onboarding,High,Resolved
TK-00313,C-0036,2024-10-18,Technical,Critical,Closed
TK-00314,C-0036,2024-11-02,Technical,High,Closed
TK-00315,C-0036,2024-11-07,Account,Low,Resolved
TK-00316,C-0036,2024-11-18,Billing,Low,Resolved
TK-00317,C-0036,2024-11-26,Billing,Critical,Resolved
TK-00318,C-0036,2024-11-28,Billing,Medium,Resolved
TK-00319,C-0036,2024-12-15,Billing,Medium,Open
TK-00320,C-0036,2024-12-17,Billing,Low,Closed
TK-00321,C-0036,2024-11-29,Feature Request,Critical,Resolved
TK-00322,C-0037,2024-11-07,Billing,Medium,Closed
TK-00323,C-0037,2024-12-06,Onboarding,Medium,Closed
TK-00324,C-0037,2024-12-24,Feature Request,Medium,Closed
TK-00325,C-0038,2024-05-03,Feature Request,Critical,Closed
TK-00326,C-0038,2024-08-10,Billing,High,In Progress
TK-00327,C-0038,2024-10-04,Billing,Critical,Closed
TK-00328,C-0038,2024-10-10,Technical,High,Resolved
TK-00329,C-0038,2024-11-07,Technical,Medium,Open
TK-00330,C-0038,2024-11-12,Feature Request,Medium,Resolved
TK-00331,C-0038,2024-11-12,Billing,Medium,Closed
TK-00332,C-0038,2024-11-14,Billing,Low,Resolved
TK-00333,C-0038,2024-12-11,Technical,Medium,Closed
TK-00334,C-0038,2024-12-14,Technical,Low,Closed
TK-00335,C-0038,2024-12-20,Technical,High,Resolved
TK-00336,C-0038,2024-12-29,Account,Medium,Open
TK-00337,C-0038,2024-12-29,Technical,Critical,In Progress
TK-00338,C-0039,2024-01-11,Account,High,Closed
TK-00339,C-0039,2024-10-05,Technical,Low,Open
TK-00340,C-0039,2024-10-26,Feature Request,Critical,Open
TK-00341,C-0039,2024-11-04,Billing,Low,Resolved
TK-00342,C-0039,2024-11-08,Technical,High,Resolved
TK-00343,C-0039,2024-11-09,Billing,High,Resolved
TK-00344,C-0039,2024-11-20,Onboarding,High,Resolved
TK-00345,C-0039,2024-12-15,Feature Request,Medium,Closed
TK-00346,C-0039,2024-12-21,Technical,Low,Resolved
TK-00347,C-0039,2024-12-22,Billing,Medium,Closed
TK-00348,C-0041,2024-06-06,Billing,Medium,Closed
TK-00349,C-0041,2024-07-07,Onboarding,High,In Progress
TK-00350,C-0041,2024-10-09,Billing,High,In Progress
TK-00351,C-0041,2024-10-14,Technical,High,Resolved
TK-00352,C-0041,2024-12-15,Onboarding,Medium,Resolved
TK-00353,C-0041,2024-12-22,Account,Low,Open
TK-00354,C-0042,2024-08-12,Account,Low,Closed
TK-00355,C-0042,2024-09-12,Feature Request,Critical,Closed
TK-00356,C-0042,2024-10-08,Technical,Low,Resolved
TK-00357,C-0042,2024-10-11,Technical,Medium,Resolved
TK-00358,C-0042,2024-10-12,Billing,Low,Resolved
TK-00359,C-0042,2024-10-27,Billing,Critical,Closed
TK-00360,C-0042,2024-11-09,Billing,High,Resolved
TK-00361,C-0042,2024-11-24,Feature Request,Medium,Closed
TK-00362,C-0042,2024-12-04,Technical,Critical,Resolved
TK-00363,C-0042,2024-12-10,Technical,High,Resolved
TK-00364,C-0042,2024-12-18,Billing,High,Closed
TK-00365,C-0042,2024-11-19,Account,High,Closed
TK-00366,C-0043,2024-03-25,Billing,Critical,Closed
TK-00367,C-0043,2024-04-26,Account,Medium,Closed
TK-00368,C-0043,2024-05-10,Technical,Medium,Open
TK-00369,C-0043,2024-11-16,Account,Critical,Closed
TK-00370,C-0044,2024-08-21,Technical,Medium,Closed
TK-00371,C-0044,2024-11-11,Account,High,In Progress
TK-00372,C-0044,2024-11-14,Technical,High,Resolved
TK-00373,C-0045,2024-04-03,Billing,Critical,Resolved
TK-00374,C-0045,2024-09-02,Feature Request,Medium,Resolved
TK-00375,C-0045,2024-10-07,Onboarding,Low,Closed
TK-00376,C-0045,2024-10-11,Billing,Critical,Resolved
TK-00377,C-0045,2024-10-13,Account,Critical,Resolved
TK-00378,C-0045,2024-10-17,Billing,Medium,Resolved
TK-00379,C-0045,2024-11-04,Billing,Medium,Resolved
TK-00380,C-0045,2024-11-21,Technical,Low,Closed
TK-00381,C-0045,2024-11-23,Onboarding,Medium,Resolved
TK-00382,C-0045,2024-11-26,Technical,High,Closed
TK-00383,C-0045,2024-12-05,Technical,High,Resolved
TK-00384,C-0045,2024-12-18,Billing,Critical,Resolved
TK-00385,C-0045,2024-12-18,Technical,High,In Progress
TK-00386,C-0046,2024-10-10,Billing,Low,Closed
TK-00387,C-0046,2024-10-19,Onboarding,High,Closed
TK-00388,C-0046,2024-11-02,Technical,High,Closed
TK-00389,C-0046,2024-11-07,Billing,Medium,Resolved
TK-00390,C-0046,2024-11-10,Billing,Low,Closed
TK-00391,C-0046,2024-12-13,Billing,Medium,Closed
TK-00392,C-0046,2024-12-17,Technical,Low,Resolved
TK-00393,C-0046,2024-12-18,Feature Request,High,In Progress
TK-00394,C-0046,2024-12-20,Billing,High,Closed
TK-00395,C-0046,2024-12-23,Account,High,Resolved
TK-00396,C-0047,2024-10-06,Billing,Medium,Resolved
TK-00397,C-0047,2024-10-10,Technical,Medium,Closed
TK-00398,C-0047,2024-10-11,Technical,Critical,Resolved
TK-00399,C-0047,2024-10-12,Billing,Low,In Progress
TK-00400,C-0047,2024-11-14,Account,High,Closed
TK-00401,C-0047,2024-12-15,Technical,Medium,Resolved
TK-00402,C-0047,2024-12-21,Technical,High,Resolved
TK-00403,C-0047,2024-12-25,Feature Request,Critical,In Progress
TK-00404,C-0047,2024-12-26,Onboarding,Medium,Resolved
TK-00405,C-0048,2024-05-28,Feature Request,Medium,In Progress
TK-00406,C-0048,2024-10-16,Technical,Medium,Resolved
TK-00407,C-0048,2024-10-21,Billing,High,Open
TK-00408,C-0048,2024-11-15,Technical,Medium,Open
TK-00409,C-0048,2024-11-23,Feature Request,Medium,Closed
TK-00410,C-0048,2024-11-29,Billing,High,Resolved
TK-00411,C-0048,2024-12-02,Billing,Low,Open
TK-00412,C-0048,2024-12-29,Feature Request,Low,Closed
TK-00413,C-0049,2024-08-16,Technical,Low,Open
TK-00414,C-0049,2024-09-27,Feature Request,Medium,Closed
TK-00415,C-0049,2024-10-17,Feature Request,High,Resolved
TK-00416,C-0049,2024-10-28,Billing,Low,In Progress
TK-00417,C-0049,2024-11-07,Technical,Medium,Closed
TK-00418,C-0049,2024-11-11,Technical,Critical,Closed
TK-00419,C-0049,2024-11-17,Feature Request,Low,Resolved
TK-00420,C-0049,2024-12-11,Billing,High,Resolved
TK-00421,C-0049,2024-12-14,Technical,Medium,Resolved
TK-00422,C-0049,2024-12-22,Billing,Medium,Resolved
TK-00423,C-0049,2024-12-27,Billing,High,Closed
TK-00424,C-0049,2024-12-30,Technical,High,Resolved
TK-00425,C-0049,2024-10-27,Account,Medium,Closed
TK-00426,C-0050,2024-10-25,Feature Request,Critical,Closed
TK-00427,C-0050,2024-11-12,Account,Medium,In Progress
TK-00428,C-0050,2024-11-18,Account,Medium,Closed
TK-00429,C-0050,2024-12-06,Onboarding,Medium,Closed
TK-00430,C-0050,2024-12-10,Technical,Medium,Open
TK-00431,C-0050,2024-11-25,Billing,Medium,Closed
TK-00432,C-0051,2024-10-18,Technical,High,Resolved
TK-00433,C-0051,2024-11-03,Feature Request,High,Closed
TK-00434,C-0051,2024-11-05,Billing,Low,Open
TK-00435,C-0051,2024-11-10,Technical,Medium,In Progress
TK-00436,C-0051,2024-11-11,Technical,Medium,Resolved
TK-00437,C-0051,2024-11-20,Billing,High,In Progress
TK-00438,C-0051,2024-12-02,Feature Request,Low,Closed
TK-00439,C-0051,2024-12-20,Account,High,Closed
TK-00440,C-0052,2024-01-22,Account,Critical,Closed
TK-00441,C-0052,2024-04-12,Technical,Critical,Resolved
TK-00442,C-0052,2024-08-16,Account,Medium,Resolved
TK-00443,C-0052,2024-10-24,Account,Critical,Closed
TK-00444,C-0052,2024-11-07,Account,Medium,Closed
TK-00445,C-0052,2024-12-01,Billing,Low,In Progress
TK-00446,C-0052,2024-12-05,Feature Request,Low,Closed
TK-00447,C-0052,2024-12-16,Technical,Medium,Closed
TK-00448,C-0052,2024-12-19,Technical,High,In Progress
TK-00449,C-0053,2024-10-24,Billing,High,Resolved
TK-00450,C-0053,2024-10-30,Technical,Low,Closed
TK-00451,C-0053,2024-11-08,Onboarding,Low,Resolved
TK-00452,C-0053,2024-11-13,Technical,High,Closed
TK-00453,C-0053,2024-11-13,Billing,Low,In Progress
TK-00454,C-0053,2024-11-15,Account,Medium,Resolved
TK-00455,C-0053,2024-11-17,Account,Medium,Closed
TK-00456,C-0053,2024-11-18,Account,High,In Progress
TK-00457,C-0053,2024-11-26,Billing,Medium,Closed
TK-00458,C-0053,2024-12-05,Technical,Medium,Resolved
TK-00459,C-0053,2024-12-20,Technical,High,Resolved
TK-00460,C-0053,2024-12-20,Technical,High,Resolved
TK-00461,C-0053,2024-12-24,Feature Request,Medium,Closed
TK-00462,C-0053,2024-12-29,Account,Low,Open
TK-00463,C-0053,2024-11-13,Technical,Medium,Closed
TK-00464,C-0054,2024-10-15,Billing,Low,Resolved
TK-00465,C-0054,2024-10-16,Feature Request,High,Resolved
TK-00466,C-0054,2024-10-19,Feature Request,High,Resolved
