customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date
C-0184,Starter,Annual,2023-08-31,1,
C-0185,Professional,Monthly,2021-02-28,13,2024-10-14
C-0186,Starter,Annual,2021-11-30,4,2024-10-06
C-0187,starter,Annual,2021-10-31,1,
C-0188,Starter,Monthly,2024-06-30,5,
C-0189,Starter,Monthly,2023-01-31,5,
C-0190,professional,Annual,2024-03-31,13,
C-0191,enterprise,Annual,2024-08-31,47,
C-0192,starter,Annual,2022-10-31,4,
C-0193,Starter,Annual,2022-03-31,1,
C-0194,Starter,Annual,2022-10-31,4,2024-12-14
C-0195,Enterprise,Annual,2023-02-28,89,2024-10-20
C-0196,professional,Monthly,2022-04-30,6,
C-0197,Professional,Monthly,2021-02-28,13,
C-0198,Enterprise,Annual,2024-10-31,95,2024-11-26
C-0199,Starter,Annual,2021-05-31,3,2024-10-31
C-0200,Enterprise,Annual,2020-12-31,26,
C-0201,Professional,Monthly,2022-04-30,11,2024-11-20
C-0202,Professional,Annual,2023-04-30,7,2024-11-04
C-0203,Professional,Monthly,2021-07-31,5,
C-0204,professional,Annual,2022-10-31,4,
C-0205,Professional,Monthly,2022-07-31,5,2024-11-24
C-0206,Professional,Annual,2023-11-30,9,
C-0207,professional,Annual,2024-01-31,18,2024-12-24
C-0208,Professional,Annual,2024-09-30,11,
C-0209,Starter,Annual,2024-11-30,4,2024-12-18
C-0210,enterprise,Monthly,2022-09-30,84,
C-0211,Enterprise,Monthly,2024-07-31,93,2024-12-13
C-0212,Starter,Monthly,2021-12-31,1,
C-0213,Enterprise,Annual,2022-08-31,70,
C-0214,professional,Annual,2022-02-28,20,2024-11-01
C-0215,Professional,Annual,2022-04-30,15,2024-11-20
C-0216,Enterprise,Annual,2024-04-30,41,2024-12-04
C-0217,Starter,Annual,2021-04-30,4,2024-12-26
C-0218,Professional,Annual,2021-01-31,14,2024-11-09
C-0219,Enterprise,Monthly,2022-07-31,98,
C-0220,Professional,Annual,2024-01-31,7,
C-0221,Starter,Annual,2023-05-31,2,2024-11-23
C-0222,professional,Annual,2024-10-31,14,2024-10-30
C-0223,Enterprise,Annual,2022-11-30,97,
C-0224,Starter,Annual,2023-10-31,3,2024-11-21
C-0225,Professional,Annual,2022-12-31,18,2024-11-29
C-0226,Starter,Monthly,2023-03-31,2,
C-0227,Starter,Annual,2022-03-31,2,
C-0228,Enterprise,Monthly,2021-05-31,19,
C-0229,Enterprise,Monthly,2020-12-31,31,2024-12-30
C-0230,Professional,Annual,2023-12-31,16,2024-11-27
C-0231,Starter,Annual,2022-09-30,3,
C-0232,Starter,Monthly,2024-10-31,5,2024-11-23
C-0233,professional,Annual,2023-03-31,20,2024-11-28
C-0234,Professional,Annual,2023-09-30,18,2024-12-01
C-0235,Starter,Monthly,2023-03-31,1,2024-10-22
C-0236,starter,Annual,2024-01-31,2,2024-10-11
C-0237,Starter,Monthly,2023-01-31,3,2024-12-27
C-0238,Professional,Monthly,2022-04-30,18,2024-12-07
C-0239,Enterprise,Monthly,2021-12-31,34,
C-0240,enterprise,Annual,2024-11-30,30,
C-0241,Professional,Annual,2022-06-30,20,2024-12-07
C-0242,Professional,Monthly,2022-01-31,10,2024-11-09
C-0243,professional,Monthly,2021-12-31,4,2024-11-26
C-0244,Professional,Annual,2021-03-31,3,
C-0245,Professional,Monthly,2022-08-31,14,2024-12-29
C-0246,Starter,Monthly,2022-10-31,3,2024-12-10
C-0247,starter,Annual,2021-07-31,5,
C-0248,Enterprise,Annual,2021-06-30,53,2024-12-13
C-0249,Professional,Monthly,2022-12-31,14,2024-12-26
C-0250,Starter,Annual,2022-06-30,2,
C-0251,Starter,Annual,2024-04-30,5,
C-0252,Starter,Annual,2023-01-31,5,2024-12-27
C-0253,Enterprise,Monthly,2022-10-31,25,
C-0254,Professional,Monthly,2020-12-31,14,2024-11-30
C-0255,Starter,Annual,2024-01-31,2,2024-11-24
C-0256,Enterprise,Annual,2023-07-31,18,2024-11-20
C-0257,Starter,Monthly,2023-03-31,1,
C-0258,Starter,Monthly,2022-01-31,3,
C-0259,Starter,Annual,2024-02-29,4,2024-12-02
C-0260,Starter,Annual,2023-12-31,3,
C-0261,Starter,Monthly,2022-03-31,1,
C-0262,Starter,Annual,2023-12-31,5,
C-0263,Professional,Monthly,2024-05-31,19,
C-0264,Starter,Monthly,2024-06-30,3,2024-11-10
C-0265,Enterprise,Annual,2024-10-31,100,
C-0266,Professional,Annual,2024-11-30,15,
C-0267,Professional,Monthly,2023-11-30,6,2024-11-15
C-0268,Starter,Annual,2024-06-30,2,2024-12-25
C-0269,Starter,Monthly,2021-07-31,2,2024-11-08
C-0270,Professional,Monthly,2022-02-28,14,2024-10-30
C-0271,Starter,Annual,2021-05-31,4,2024-12-20
C-0272,Professional,Annual,2022-09-30,5,2024-11-04
C-0273,Enterprise,Monthly,2023-05-31,46,
C-0274,Professional,Monthly,2021-08-31,6,
C-0275,Professional,Monthly,2024-11-30,9,
C-0276,Enterprise,Annual,2024-04-30,94,2024-11-07
C-0277,Starter,Annual,2021-12-31,3,2024-12-20
C-0278,enterprise,Annual,2024-11-30,25,
C-0279,Starter,Annual,2021-06-30,4,2024-11-10
C-0280,Professional,Monthly,2023-08-31,17,2024-12-12
C-0281,Starter,Annual,2023-12-31,1,2024-12-12
C-0282,Starter,Monthly,2022-04-30,4,
C-0283,enterprise,Annual,2022-08-31,67,2024-11-24
C-0284,Professional,Monthly,2022-05-31,16,
C-0285,Professional,Annual,2021-08-31,15,
C-0286,Starter,Monthly,2021-12-31,2,2024-11-04
C-0287,Starter,Annual,2022-06-30,2,2024-10-07
C-0288,Starter,Monthly,2023-02-28,5,2024-10-16
C-0289,Professional,Annual,2023-05-31,5,2024-10-07
C-0290,Enterprise,Monthly,2023-12-31,50,
C-0291,Starter,Monthly,2023-05-31,1,2024-12-14
C-0292,Starter,Annual,2023-04-30,2,
C-0293,Starter,Annual,2022-10-31,2,2024-12-15
C-0294,Starter,Monthly,2023-02-28,4,2024-11-11
C-0295,Professional,Monthly,2024-02-29,16,2024-11-14
C-0296,Professional,Annual,2022-09-30,8,
C-0297,Starter,Annual,2023-10-31,2,
C-0298,Starter,Annual,2023-06-30,4,2024-10-31
C-0299,professional,Monthly,2024-11-30,17,
C-0300,Professional,Annual,2021-05-31,9,
C-0301,starter,Monthly,2023-01-31,2,2024-10-30
C-0302,Starter,Monthly,2021-06-30,5,
C-0303,Starter,Monthly,2024-01-31,5,2024-11-15
C-0304,Starter,Annual,2022-05-31,3,2024-11-02
C-0305,Professional,Monthly,2023-01-31,10,2024-11-25
C-0306,Enterprise,Monthly,2024-04-30,24,
C-0307,Professional,Annual,2022-07-31,16,
C-0308,Starter,Monthly,2021-09-30,2,
C-0309,Enterprise,Monthly,2024-06-30,67,2024-11-21
C-0310,Starter,Monthly,2022-07-31,5,
C-0311,Enterprise,Monthly,2022-11-30,38,2024-12-20
C-0312,Starter,Monthly,2023-03-31,2,2024-11-13
C-0313,starter,Monthly,2023-06-30,2,2024-11-05
C-0314,Starter,Monthly,2022-02-28,2,
C-0315,Professional,Annual,2023-09-30,13,2024-11-10
C-0316,enterprise,Monthly,2024-02-29,43,
C-0317,Enterprise,Annual,2023-03-31,36,
C-0318,Starter,Monthly,2021-06-30,3,2024-11-01
C-0319,Enterprise,Annual,2021-04-30,21,
C-0320,Starter,Annual,2024-11-30,1,
C-0321,Enterprise,Monthly,2021-03-31,43,
C-0322,professional,Annual,2022-12-31,15,2024-10-22
C-0323,Professional,Monthly,2020-12-31,5,
C-0324,Enterprise,Monthly,2023-03-31,17,
C-0325,Professional,Monthly,2024-02-29,14,2024-10-14
C-0326,Professional,Monthly,2020-12-31,12,
C-0327,Enterprise,Monthly,2021-12-31,51,
C-0328,professional,Annual,2023-07-31,12,2024-12-18
C-0329,Professional,Annual,2023-07-31,16,2024-11-04
C-0330,Enterprise,Monthly,2023-07-31,51,2024-10-11
C-0331,Professional,Monthly,2022-04-30,18,2024-12-27
C-0332,Enterprise,Monthly,2021-01-31,99,
C-0333,starter,Monthly,2023-08-31,4,
C-0334,Starter,Annual,2023-06-30,3,2024-10-31
C-0335,Professional,Monthly,2024-01-31,15,
C-0336,Starter,Annual,2023-04-30,4,2024-10-27
C-0337,Enterprise,Annual,2021-08-31,35,
C-0338,Professional,Annual,2021-09-30,8,
C-0339,Starter,Monthly,2023-08-31,3,
C-0340,Professional,Annual,2021-05-31,8,
C-0341,Professional,Annual,2024-11-30,12,2024-10-15
C-0342,Professional,Annual,2024-10-31,17,
C-0343,Professional,Annual,2021-12-31,13,
C-0344,Professional,Monthly,2023-03-31,10,
C-0345,Professional,Monthly,2021-06-30,5,2024-12-21
C-0346,Professional,Annual,2024-06-30,3,2024-11-14
C-0347,Starter,Annual,2023-07-31,3,
C-0348,Starter,Monthly,2024-05-31,2,
C-0349,Enterprise,Annual,2023-12-31,23,
C-0350,Enterprise,Monthly,2023-03-31,24,2024-12-14
C-0351,Starter,Annual,2024-04-30,1,2024-11-09
C-0352,Professional,Annual,2023-09-30,11,2024-12-02
C-0353,Enterprise,Monthly,2023-07-31,31,2024-11-21
C-0354,Professional,Annual,2024-08-31,14,
C-0355,Professional,Annual,2021-11-30,10,
C-0356,Starter,Monthly,2023-09-30,5,
C-0357,Professional,Monthly,2024-07-31,10,2024-11-04
C-0358,Professional,Monthly,2023-05-31,9,
C-0359,Starter,Monthly,2022-01-31,5,
C-0360,Professional,Annual,2023-03-31,18,
C-0361,Professional,Monthly,2021-05-31,4,2024-11-19
C-0362,starter,Monthly,2023-04-30,3,2024-11-11
C-0363,Starter,Annual,2022-05-31,3,
C-0364,enterprise,Annual,2021-03-31,30,
C-0365,Professional,Annual,2023-06-30,13,
C-0366,Enterprise,Annual,2022-04-30,100,
C-0367,Starter,Monthly,2022-02-28,1,2024-12-23
C-0368,Enterprise,Monthly,2023-07-31,60,2024-10-16
C-0369,Enterprise,Monthly,2023-08-31,20,2024-11-17
C-0370,Professional,Monthly,2024-02-29,11,2024-11-22
C-0371,Starter,Monthly,2022-08-31,4,2024-11-29
C-0372,Enterprise,Monthly,2023-07-31,56,2024-10-22
C-0373,Starter,Monthly,2023-01-31,2,2024-11-05
C-0374,Enterprise,Monthly,2021-01-31,59,2024-12-24
C-0375,Professional,Annual,2023-06-30,3,
C-0376,Professional,Monthly,2023-05-31,15,
C-0377,Starter,Annual,2023-07-31,4,2024-11-15
C-0378,Professional,Annual,2021-04-30,14,2024-11-29
C-0379,professional,Monthly,2024-11-30,5,2024-11-05
C-0380,professional,Annual,2024-08-31,8,
C-0381,starter,Annual,2021-08-31,3,2024-11-29
C-0382,enterprise,Annual,2023-05-31,84,
C-0383,Professional,Monthly,2021-04-30,18,
C-0384,Starter,Monthly,2021-10-31,5,2024-12-15
C-0385,Professional,Annual,2022-08-31,4,2024-10-17
C-0386,Starter,Monthly,2021-02-28,5,
C-0387,enterprise,Monthly,2024-04-30,50,2024-10-12
C-0388,Enterprise,Annual,2022-06-30,63,
C-0389,Enterprise,Annual,2023-11-30,69,2024-12-14
C-0390,Starter,Monthly,2023-05-31,5,2024-12-17
C-0391,Enterprise,Monthly,2021-01-31,80,2024-11-18
C-0392,Enterprise,Annual,2022-05-31,53,
C-0393,enterprise,Annual,2023-11-30,70,2024-11-01
C-0394,Professional,Annual,2021-02-28,11,2024-10-10
C-0395,Professional,Monthly,2022-03-31,8,2024-10-05
C-0396,professional,Annual,2024-01-31,4,
C-0397,Professional,Annual,2024-10-31,18,2024-10-20
C-0398,Starter,Annual,2021-03-31,4,2024-11-10
C-0399,starter,Monthly,2024-10-31,4,
C-0400,Starter,Monthly,2023-09-30,5,2024-10-31
C-0401,Enterprise,Annual,2022-07-31,89,
C-0402,Starter,Annual,2022-07-31,5,2024-11-28
C-0403,Starter,Monthly,2022-09-30,3,
C-0404,Professional,Monthly,2022-02-28,4,
C-0405,Starter,Monthly,2023-08-31,2,2024-12-08
C-0406,Starter,Monthly,2023-04-30,5,
C-0407,Professional,Annual,2021-07-31,5,
C-0408,Enterprise,Monthly,2023-03-31,87,
C-0409,starter,Annual,2023-07-31,5,
C-0410,Enterprise,Monthly,2024-01-31,78,
C-0411,Professional,Annual,2022-04-30,15,2024-12-19
C-0412,Professional,Monthly,2023-03-31,3,2024-10-20
C-0413,Enterprise,Monthly,2022-10-31,33,
C-0414,Starter,Monthly,2021-05-31,2,2024-12-28
C-0415,Starter,Monthly,2021-11-30,2,2024-10-03
C-0416,starter,Monthly,2022-08-31,4,
C-0417,Enterprise,Annual,2022-09-30,86,
C-0418,Enterprise,Annual,2021-03-31,80,2024-12-11
C-0419,Starter,Monthly,2022-12-31,5,2024-12-25
C-0420,Starter,Annual,2021-01-31,3,
C-0421,Enterprise,Monthly,2024-02-29,50,
C-0422,Professional,Annual,2023-06-30,7,
C-0423,Professional,Monthly,2023-05-31,13,
C-0424,Starter,Monthly,2024-03-31,3,
C-0425,Enterprise,Annual,2022-10-31,24,
C-0426,Starter,Monthly,2023-01-31,3,2024-10-21
C-0427,Professional,Annual,2023-01-31,12,
C-0428,Starter,Monthly,2024-02-29,5,
C-0429,Starter,Annual,2023-06-30,2,2024-12-23
C-0430,Starter,Monthly,2024-08-31,2,2024-11-05
C-0431,Professional,Monthly,2023-09-30,10,
C-0432,Professional,Monthly,2021-03-31,13,2024-12-21
C-0433,Professional,Monthly,2021-08-31,6,
C-0434,Starter,Monthly,2024-10-31,5,2024-10-31
C-0435,starter,Monthly,2024-04-30,5,2024-10-17
C-0436,Enterprise,Annual,2023-05-31,32,2024-12-27
C-0437,enterprise,Annual,2024-11-30,77,
C-0438,Professional,Monthly,2024-06-30,15,
C-0439,starter,Monthly,2024-04-30,1,
C-0440,Starter,Monthly,2024-02-29,1,2024-12-01
C-0441,Starter,Monthly,2021-08-31,3,2024-11-13
C-0442,Starter,Annual,2022-09-30,2,
C-0443,Starter,Monthly,2021-06-30,2,
C-0444,Enterprise,Monthly,2022-08-31,69,
C-0445,Starter,Monthly,2022-12-31,4,
C-0446,enterprise,Annual,2021-12-31,45,
C-0447,Starter,Monthly,2023-09-30,1,
C-0448,Starter,Monthly,2022-04-30,3,2024-12-24
C-0449,Professional,Monthly,2024-02-29,11,2024-12-31
C-0450,Professional,Monthly,2022-04-30,13,
C-0451,professional,Monthly,2021-10-31,15,2024-10-28
C-0452,Starter,Monthly,2021-11-30,5,2024-11-14
C-0453,starter,Monthly,2022-08-31,4,2024-12-30
C-0454,Enterprise,Annual,2024-08-31,21,2024-12-20
C-0455,Enterprise,Annual,2021-04-30,15,
C-0456,enterprise,Monthly,2023-10-31,28,2024-10-21
C-0457,starter,Monthly,2023-06-30,2,
C-0458,Starter,Monthly,2024-08-31,2,
C-0459,Starter,Monthly,2021-07-31,1,
C-0460,Professional,Monthly,2022-02-28,5,2024-10-04
C-0461,Professional,Annual,2022-04-30,13,
C-0462,Starter,Monthly,2021-02-28,2,2024-12-15
C-0463,enterprise,Monthly,2023-07-31,40,2024-12-31
C-0464,Professional,Annual,2022-05-31,12,2024-11-13
C-0465,Starter,Monthly,2024-04-30,4,2024-11-07
C-0466,Starter,Annual,2022-08-31,5,
C-0467,Starter,Annual,2021-08-31,4,2024-11-15
C-0468,starter,Monthly,2023-07-31,4,2024-11-09
C-0469,professional,Monthly,2024-03-31,3,2024-12-17
C-0470,Enterprise,Monthly,2022-09-30,57,
C-0471,Professional,Annual,2021-12-31,12,2024-10-28
C-0472,Starter,Monthly,2024-09-30,5,
C-0473,Professional,Monthly,2024-09-30,9,2024-10-23
C-0474,Professional,Monthly,2023-02-28,19,
C-0475,Starter,Monthly,2022-04-30,3,2024-10-25
C-0476,Enterprise,Monthly,2021-12-31,52,2024-11-05
C-0477,Enterprise,Monthly,2022-10-31,20,2024-10-30
C-0478,Professional,Monthly,2021-07-31,6,2024-11-12
C-0479,Professional,Annual,2021-11-30,18,
C-0480,starter,Annual,2022-04-30,5,
C-0481,Professional,Annual,2021-02-28,16,
C-0482,Professional,Monthly,2021-11-30,13,
C-0483,Professional,Monthly,2023-09-30,17,2024-11-01
C-0484,Professional,Monthly,2022-04-30,17,2024-10-21
C-0485,Starter,Monthly,2022-08-31,5,
C-0486,Professional,Monthly,2021-01-31,16,2024-12-02
C-0487,starter,Annual,2021-05-31,1,2024-11-09
C-0488,Starter,Annual,2022-11-30,4,2024-11-12
C-0489,Professional,Monthly,2023-12-31,3,
C-0490,professional,Monthly,2022-02-28,10,
C-0491,Starter,Annual,2023-07-31,2,
C-0492,Starter,Annual,2021-08-31,4,2024-12-24
C-0493,Professional,Monthly,2024-04-30,17,2024-12-23
C-0494,Professional,Monthly,2023-03-31,3,
C-0495,starter,Monthly,2022-07-31,4,2024-12-03
C-0496,Starter,Monthly,2021-02-28,3,2024-12-30
C-0497,Professional,Monthly,2023-07-31,20,2024-11-18
C-0498,Professional,Annual,2021-06-30,11,
C-0499,Enterprise,Monthly,2024-05-31,61,2024-12-02
C-0500,Enterprise,Monthly,2021-09-30,92,
C-0501,Starter,Monthly,2022-04-30,3,2024-11-24
C-0502,professional,Annual,2021-05-31,7,
C-0503,Starter,Monthly,2021-07-31,3,2024-11-24
C-0504,Professional,Monthly,2021-06-30,7,
C-0505,Professional,Annual,2024-01-31,3,
C-0506,Starter,Annual,2023-12-31,3,
C-0507,Starter,Monthly,2023-10-31,4,2024-11-24
C-0508,Professional,Annual,2021-06-30,17,
C-0509,Starter,Annual,2021-06-30,1,2024-11-11
C-0510,Enterprise,Monthly,2022-07-31,80,2024-11-02
C-0511,Starter,Annual,2023-01-31,1,2024-11-12
C-0512,Professional,Annual,2021-10-31,9,
C-0513,Professional,Monthly,2024-06-30,19,2024-11-05
C-0514,Professional,Monthly,2021-03-31,16,
C-0515,Starter,Monthly,2024-08-31,5,2024-11-04
C-0516,Starter,Monthly,2021-03-31,3,2024-12-10
